iter	MultiClass	Accuracy
374	-0.936659204	0.6428374793
375	-0.9362106827	0.6428463239
376	-0.9357328635	0.6428474295
377	-0.9352768104	0.6428419016
378	-0.9348898563	0.6428352681
379	-0.9344744334	0.6428291874
380	-0.9340346877	0.6428358209
381	-0.9335869265	0.6428374793
382	-0.9331194721	0.642830293
383	-0.932673162	0.6428468767
384	-0.9322292703	0.6428524046
385	-0.9318167496	0.6428794914
386	-0.931384052	0.6428883361
387	-0.9309585406	0.6428971808
388	-0.93055445	0.6429043671
389	-0.9301530542	0.6429154229
390	-0.9297341072	0.6429286899
391	-0.9292983002	0.6429237148
392	-0.928865257	0.642909895
393	-0.928432974	0.6429154229
394	-0.9280211443	0.6429170813
395	-0.9276345357	0.6429275843
396	-0.9272479961	0.6429353234
397	-0.9268689884	0.642957435
398	-0.9264590934	0.6429651741
399	-0.9260570757	0.6429480376
400	-0.9256715036	0.642973466
401	-0.9252668601	0.6429723604
402	-0.9248757601	0.6429922609
403	-0.9245060116	0.642957435
404	-0.9241111111	0.6429568823
405	-0.9237217385	0.642960199
406	-0.9233582781	0.6429823107
407	-0.9229700802	0.6429933665
408	-0.9226156716	0.6429928137
409	-0.9222175235	0.6429861802
410	-0.9218330569	0.6429845218
411	-0.9214468629	0.6429856274
412	-0.9210963239	0.6429983416
413	-0.9207085406	0.6430110558
414	-0.9203689884	0.6430182421
415	-0.9200055279	0.6430171365
416	-0.9196192648	0.6430127142
417	-0.919251382	0.64302377
418	-0.9188884743	0.6430248756
419	-0.9185204533	0.6430386954
420	-0.9181534688	0.6430315091
421	-0.9177979547	0.6430259812
422	-0.9174474848	0.6430326147
423	-0.9171135296	0.6430641238
424	-0.9167822001	0.6430580431
425	-0.9164624102	0.6430668878
426	-0.9161234107	0.6430630182
427	-0.9157755666	0.6430735213
428	-0.9154304865	0.6430652294
429	-0.9150844389	0.6430602543
430	-0.9147609176	0.6430751797
431	-0.9143970426	0.6430790492
432	-0.9140566611	0.6430762852
433	-0.9137182836	0.6430801548
434	-0.9133935876	0.6430851299
435	-0.9130700663	0.6430939746
436	-0.9127399807	0.6431050304
437	-0.9124372582	0.6431022664
438	-0.9120838861	0.6431017137
439	-0.9117562189	0.6431022664
440	-0.9114309701	0.643092869
441	-0.9111350884	0.6431243781
442	-0.9108114981	0.6431182974
443	-0.9104700111	0.6431310116
444	-0.9101495992	0.6431265893
445	-0.9098232449	0.6431354339
446	-0.9095196241	0.6431575456
447	-0.9091905058	0.6431531233
448	-0.9089083748	0.6431514649
449	-0.9086275567	0.6431492537
450	-0.9083077667	0.6431359867
451	-0.9080113322	0.6431409619
452	-0.9077182145	0.6431619679
453	-0.9074227474	0.6431553344
454	-0.9071242399	0.6431652847
455	-0.9068141238	0.6431757877
456	-0.9065333748	0.6431719182
457	-0.9062222222	0.6431569928
458	-0.9059559149	0.6431680486
459	-0.9056786899	0.6431625207
460	-0.9053913765	0.6431757877
461	-0.9051032338	0.6431779989
462	-0.9048265616	0.6431873964
463	-0.9045450525	0.6431896075
464	-0.9042731481	0.6431873964
465	-0.9039988944	0.6431885019
466	-0.9037212548	0.6431918187
467	-0.9034382255	0.6431868436
468	-0.9031568546	0.6432023217
469	-0.9028734107	0.6432100608
470	-0.9025782891	0.6432100608
471	-0.902292565	0.643212272
472	-0.9020131979	0.6432056385
473	-0.9017608485	0.6432354892
474	-0.9015081537	0.6432233278
475	-0.9012294085	0.6432343836
476	-0.9009831399	0.643222775
477	-0.9007174544	0.6432238806
478	-0.9004508015	0.6432271973
479	-0.9001803483	0.643238806
480	-0.899907822	0.6432504146
481	-0.8996502211	0.6432426755
482	-0.8994255804	0.6432598121
483	-0.8991727474	0.6432587065
484	-0.8989010503	0.6432570481
485	-0.8986630044	0.64326534
486	-0.8984094804	0.6432570481
487	-0.8981580293	0.6432603648
488	-0.897909204	0.6432576009
489	-0.8976453842	0.6432564953
490	-0.8974288281	0.6432714207
491	-0.8971779989	0.6432675511
492	-0.8969205362	0.6432642344
493	-0.896673162	0.6432658928
494	-0.8964346324	0.6432857933
495	-0.8961894002	0.6432935323
496	-0.8959432007	0.6432951907
497	-0.8956876036	0.6433117745
498	-0.8954800995	0.6433311222
499	-0.8952458541	0.6433454947
500	-0.8950124378	0.6433344389
501	-0.8947678275	0.643331675
502	-0.8945538972	0.6433377557
503	-0.8943082504	0.6433399668
504	-0.894079602	0.6433416252
505	-0.8938363737	0.643344942
506	-0.8936114566	0.6433416252
507	-0.893393173	0.6433499171
508	-0.893168325	0.6433471531
509	-0.8929525981	0.6433471531
510	-0.8927388751	0.643342178
511	-0.8925220426	0.6433565506
512	-0.8922828911	0.6433515755
513	-0.8920753179	0.643344942
514	-0.8918696794	0.6433499171
515	-0.8916655611	0.6433615257
516	-0.891446932	0.6433609729
517	-0.8912384605	0.6433576562
518	-0.8910565229	0.6433648425
519	-0.8908500553	0.643355445
520	-0.8906329464	0.643368712
521	-0.8904172886	0.6433852957
522	-0.89022623	0.643381979
523	-0.8900210752	0.6433836374
524	-0.8898152985	0.6433913765
525	-0.8896209232	0.6433864013
526	-0.8894282753	0.6433841902
527	-0.88922699	0.6433841902
528	-0.8890158928	0.6433786622
529	-0.8887987148	0.6433897181
530	-0.888578911	0.6433864013
531	-0.8883796296	0.6433830846
532	-0.8881680486	0.6433808734
533	-0.8879619956	0.6433841902
534	-0.8877787452	0.6433869541
535	-0.8875725539	0.6433985627
536	-0.8873622167	0.643395246
537	-0.8871745439	0.6433930348
538	-0.886986042	0.6433858485
539	-0.8868047264	0.6433880597
540	-0.8866228579	0.6433858485
541	-0.8864213654	0.6433902709
542	-0.8862287175	0.6433897181
543	-0.8860278469	0.643392482
544	-0.8858425926	0.6433930348
545	-0.8856719182	0.643384743
546	-0.8854925373	0.6433897181
547	-0.8853204809	0.6433864013
548	-0.8851377833	0.6433897181
549	-0.8849736042	0.6433919292
550	-0.884799613	0.6433957988
551	-0.8846181592	0.6433996683
552	-0.8844303483	0.6433996683
553	-0.8842522112	0.6433891653
554	-0.8840701354	0.6433941404
555	-0.8838826009	0.6433935876
556	-0.8836970702	0.6434007739
557	-0.8835149945	0.6434051962
558	-0.8833279436	0.6434018795
559	-0.8831590658	0.6433969044
